user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
ttsvetkov,4,0.752103,1.858001,0.418019,0.831887,4,0.006979,0.006762,0.037647,0.009632,0.418019,0.005151,0.003788,0.002912,0.413868,0.004169,0.087461,0.003613
williams8kalvin,3,0.750887,1.907683,0.492512,0.809426,4,0.009684,0.009383,0.019575,0.013369,0.492512,0.007148,0.005256,0.004041,0.316914,0.005786,0.111319,0.005013
darrell_h_hunt,1,0.750697,1.898979,0.426497,0.711101,4,0.002349,0.002276,0.004755,0.003247,0.426497,0.001734,0.001275,0.052020,0.284604,0.001403,0.218624,0.001216
realrobert1987,9,0.750490,1.948547,0.554052,0.793283,4,0.033430,0.005548,0.015661,0.006630,0.554052,0.025872,0.002607,0.008213,0.239231,0.002869,0.094352,0.011534
zubovnik,1,0.750096,1.851646,0.424617,0.833060,4,0.008396,0.008135,0.016922,0.011584,0.424617,0.006197,0.004557,0.003503,0.408443,0.005016,0.098283,0.004346
rightnpr,74,0.749146,1.913832,0.457399,0.815078,4,0.015033,0.008178,0.027288,0.007634,0.457399,0.004818,0.005561,0.006182,0.357680,0.004756,0.102235,0.003236
watchmewalkin,59,0.749015,1.931704,0.448559,0.781345,4,0.008612,0.007747,0.023572,0.007157,0.448559,0.012741,0.002279,0.005583,0.332786,0.002216,0.145537,0.003211
j0hnlarsen,61,0.748743,1.907560,0.470630,0.806389,4,0.012863,0.007693,0.012460,0.006448,0.470630,0.011898,0.001756,0.011532,0.335759,0.006394,0.119161,0.003404
realten_gop,61,0.748705,1.930093,0.501267,0.805220,4,0.015393,0.009225,0.023754,0.007746,0.501267,0.005920,0.004004,0.009311,0.303953,0.007332,0.107759,0.004335
march_for_trump,40,0.747598,1.939024,0.456248,0.794325,4,0.006213,0.014418,0.013345,0.022194,0.456248,0.006852,0.003068,0.002768,0.338078,0.003377,0.126116,0.007325
gibbs_jeremy_,1,0.746770,1.977206,0.484035,0.764588,10,0.005483,0.005311,0.011043,0.007563,0.090992,0.103648,0.002975,0.002287,0.280553,0.003275,0.484035,0.002837
prettylaraplace,74,0.744694,1.934125,0.484695,0.798742,4,0.010623,0.006385,0.013879,0.007937,0.484695,0.011186,0.006956,0.014226,0.314047,0.002937,0.121542,0.005586
hollydler,76,0.744323,1.947882,0.492559,0.798216,4,0.013013,0.007026,0.012281,0.007012,0.492559,0.019410,0.007215,0.012102,0.305657,0.003470,0.115805,0.004451
onlinecleveland,104,0.743682,2.011170,0.449055,0.740906,4,0.005276,0.005714,0.291852,0.022942,0.449055,0.002623,0.003241,0.001776,0.149861,0.002608,0.063267,0.001786
cookncooks,193,0.743295,1.950787,0.501493,0.772765,8,0.009001,0.006232,0.013640,0.007919,0.271272,0.015666,0.011225,0.006263,0.501493,0.006693,0.147439,0.003157
stepansazono,5,0.743224,1.989637,0.488222,0.794133,4,0.007919,0.007673,0.016002,0.035394,0.488222,0.005845,0.004298,0.003304,0.305911,0.020937,0.100394,0.004099
politweecs,100,0.743112,1.972824,0.490411,0.800533,4,0.006860,0.012319,0.041192,0.014722,0.490411,0.006764,0.006400,0.005366,0.310122,0.005969,0.095396,0.004478
sylvielefevrier,3,0.743017,1.986399,0.573257,0.757285,6,0.008632,0.008377,0.025607,0.014826,0.078437,0.003672,0.573257,0.002076,0.184028,0.009975,0.088538,0.002575
t0nyasinclair,1,0.742954,2.004560,0.486914,0.744753,10,0.006197,0.006004,0.012513,0.257839,0.088748,0.004574,0.003364,0.002586,0.124352,0.003702,0.486914,0.003208
melanymelanin,206,0.741551,2.008849,0.507875,0.744125,8,0.009254,0.009911,0.019576,0.038253,0.154492,0.003048,0.007091,0.003543,0.507875,0.007299,0.236250,0.003407
javonhidp,60,0.740602,1.996389,0.430144,0.757401,4,0.009885,0.011296,0.031658,0.015739,0.430144,0.002466,0.002958,0.002556,0.327257,0.006635,0.157314,0.002093
kansasdailynews,119,0.740257,2.001269,0.443305,0.725762,4,0.007170,0.005351,0.282457,0.009486,0.443305,0.002953,0.004851,0.002197,0.182189,0.003674,0.053104,0.003263
carriethornthon,71,0.740145,1.952502,0.517420,0.790914,4,0.010382,0.008629,0.011962,0.013779,0.517420,0.011409,0.005714,0.013520,0.273494,0.010351,0.120563,0.002776
riafanru,1,0.739656,1.968103,0.590680,0.734416,9,0.009210,0.008924,0.018556,0.012707,0.113823,0.006798,0.004999,0.003843,0.143736,0.590680,0.081957,0.004768
karolineauge,3,0.739641,1.985214,0.585143,0.735135,6,0.006616,0.009432,0.016956,0.029928,0.091676,0.004884,0.585143,0.002761,0.149992,0.003953,0.095232,0.003425
rh0lbr00k,20,0.739430,2.034404,0.485530,0.760720,4,0.004051,0.009098,0.012710,0.012602,0.485530,0.018248,0.002190,0.045000,0.275190,0.004972,0.128360,0.002049
tpartynews,298,0.738304,2.019591,0.447045,0.770248,8,0.009022,0.042412,0.018177,0.007303,0.323203,0.009013,0.004363,0.004230,0.447045,0.003319,0.128943,0.002970
staywoke88,49,0.737874,1.970503,0.410635,0.764038,4,0.006940,0.009941,0.023585,0.011391,0.410635,0.004305,0.005285,0.002149,0.353403,0.006718,0.162060,0.003587
drmichaelgarcia,53,0.737705,1.986510,0.422644,0.779071,4,0.005327,0.005924,0.024727,0.010503,0.422644,0.019076,0.007660,0.001969,0.356427,0.005309,0.136185,0.004249
itstimetosecede,31,0.737436,1.990728,0.478064,0.746370,8,0.009043,0.015624,0.017231,0.009124,0.268307,0.004879,0.010582,0.002758,0.478064,0.008590,0.172377,0.003421
washingtonline,105,0.737208,2.013964,0.454333,0.699907,4,0.006679,0.006446,0.200413,0.008944,0.454333,0.004003,0.002774,0.002263,0.245574,0.002736,0.061882,0.003954
jaydaastonishin,50,0.735290,2.017678,0.433016,0.761703,4,0.008011,0.008979,0.039087,0.011105,0.433016,0.009316,0.004791,0.004093,0.328687,0.004307,0.145706,0.002903
ninonderrien,3,0.734432,2.020407,0.572939,0.729679,6,0.006567,0.006363,0.020448,0.030676,0.097787,0.004847,0.572939,0.002740,0.156740,0.006401,0.091092,0.003400
srahse,1,0.733908,1.962372,0.401041,0.784597,10,0.009212,0.008925,0.018648,0.012719,0.139983,0.006800,0.005000,0.003844,0.383556,0.005504,0.401041,0.004769
ravenicholson,54,0.733513,2.000447,0.416609,0.754052,4,0.009904,0.010602,0.018440,0.017921,0.416609,0.005667,0.003932,0.003104,0.337442,0.004168,0.167714,0.004496
darknally,39,0.733299,2.041526,0.474760,0.777240,4,0.008049,0.016558,0.034116,0.017762,0.474760,0.009909,0.003339,0.002567,0.302480,0.006555,0.114053,0.009851
dorothiebell,192,0.733233,2.046659,0.486411,0.762781,8,0.016908,0.006904,0.018279,0.008506,0.276369,0.031507,0.010612,0.003387,0.486411,0.006541,0.131034,0.003543
garrettsimpson_,219,0.733075,2.037856,0.514795,0.743437,8,0.017750,0.006940,0.013200,0.014069,0.228642,0.030166,0.007899,0.008692,0.514795,0.003745,0.150799,0.003302
patriotka_rusi,5,0.732220,2.036780,0.422306,0.773281,4,0.007478,0.007245,0.040999,0.010334,0.422306,0.005520,0.020345,0.003120,0.350975,0.004467,0.123340,0.003871
chadsloyer,53,0.732059,2.012610,0.421508,0.742333,4,0.009438,0.008577,0.027916,0.007844,0.421508,0.009197,0.002946,0.003732,0.320824,0.008154,0.177055,0.002809
jacquelinisbest,178,0.731773,2.044171,0.468866,0.752749,8,0.012129,0.009071,0.013797,0.009619,0.283883,0.032215,0.009251,0.003430,0.468866,0.003991,0.149058,0.004689
emileewaren,190,0.731665,2.032207,0.485594,0.763628,8,0.015929,0.009998,0.012229,0.007646,0.278034,0.024653,0.011156,0.006729,0.485594,0.006508,0.138593,0.002930
margarethkurz,91,0.731387,1.905472,0.655798,0.751923,9,0.077320,0.026907,0.019896,0.006732,0.096125,0.007404,0.005933,0.001264,0.054534,0.655798,0.028756,0.019331
janelperkinson,10,0.731229,2.014602,0.391908,0.779867,4,0.005787,0.010356,0.025840,0.015709,0.391908,0.026803,0.003141,0.002415,0.387959,0.003457,0.123630,0.002996
jeffreykahunas,221,0.730742,2.034832,0.513361,0.734320,8,0.013713,0.008124,0.013237,0.011733,0.220959,0.030145,0.008309,0.008254,0.513361,0.003838,0.163761,0.004568
anthonywoodboy,9,0.730002,2.059428,0.511204,0.738107,8,0.023819,0.005952,0.021654,0.023282,0.149439,0.016003,0.003558,0.002207,0.511204,0.003187,0.226903,0.012794
lelandgraves_,4,0.729664,2.079790,0.447730,0.731203,10,0.101330,0.005068,0.010546,0.007225,0.118339,0.003861,0.002839,0.002183,0.283473,0.014698,0.447730,0.002708
instotus,3,0.728765,2.029691,0.451036,0.734386,8,0.010216,0.009898,0.020582,0.014099,0.283350,0.007541,0.005545,0.004263,0.451036,0.006103,0.182079,0.005288
_sashalapin,9,0.728221,2.037226,0.434688,0.797029,8,0.008025,0.007775,0.016284,0.011080,0.362341,0.030332,0.027588,0.003349,0.434688,0.004794,0.089588,0.004154
alecmooooody,55,0.728176,2.074095,0.433104,0.749148,4,0.013541,0.007553,0.045997,0.015082,0.433104,0.006444,0.003147,0.002198,0.316044,0.006829,0.143030,0.007031
onemightyfish,53,0.727307,2.019581,0.381287,0.760395,4,0.012940,0.009597,0.029060,0.013139,0.381287,0.004999,0.003788,0.003458,0.379108,0.004772,0.153532,0.004319
camosaseko,53,0.726774,2.021726,0.401760,0.761514,4,0.008559,0.010067,0.027890,0.009058,0.401760,0.008209,0.008459,0.002308,0.359754,0.004715,0.153056,0.006164
jihadist2ndwife,9,0.726532,2.047487,0.457051,0.687199,8,0.008558,0.008292,0.040232,0.011817,0.230148,0.006317,0.004645,0.003571,0.457051,0.005113,0.219828,0.004430
ramonasnails,50,0.726524,2.073081,0.428610,0.752069,4,0.011946,0.012792,0.042246,0.011510,0.428610,0.007942,0.007349,0.003531,0.323459,0.004649,0.142941,0.003025
muslims_in_usa,8,0.726406,2.047258,0.417540,0.739266,8,0.016456,0.008209,0.017138,0.021164,0.321726,0.006253,0.004598,0.003535,0.417540,0.005061,0.173932,0.004386
anzgri,2,0.726343,2.057236,0.483229,0.747289,8,0.012162,0.011784,0.024538,0.016780,0.264060,0.008977,0.006601,0.005075,0.483229,0.007266,0.153230,0.006296
regieblackmon,48,0.725626,2.047672,0.400917,0.730006,4,0.016081,0.009205,0.024167,0.013328,0.400917,0.004231,0.003535,0.004649,0.329089,0.006548,0.185416,0.002833
pati_cooper,10,0.725466,2.100111,0.456972,0.763807,4,0.006592,0.006387,0.032078,0.013013,0.456971,0.035969,0.003578,0.002751,0.306836,0.003939,0.110697,0.021189
leroylovesusa,202,0.725220,2.062326,0.476137,0.734194,8,0.015584,0.009518,0.015054,0.008820,0.258057,0.023369,0.008554,0.006968,0.476137,0.005204,0.168800,0.003935
jamie_mccarthy_,36,0.724615,2.086357,0.455074,0.733229,8,0.020604,0.004487,0.023138,0.017657,0.163225,0.016805,0.003126,0.011061,0.455074,0.001448,0.278155,0.005220
tezaharov,6,0.723548,2.108268,0.438774,0.752248,4,0.007710,0.007470,0.079671,0.035389,0.438774,0.005691,0.004185,0.003217,0.313474,0.004606,0.095820,0.003991
shocko_10,4,0.723498,2.029282,0.400762,0.663514,8,0.006254,0.006059,0.044380,0.008633,0.262752,0.004616,0.003394,0.002609,0.400762,0.003736,0.253567,0.003237
laurabaeley,209,0.723397,2.084481,0.534367,0.733865,8,0.015619,0.009558,0.035670,0.019614,0.199498,0.021316,0.009444,0.006584,0.534367,0.004224,0.139147,0.004958
wildharee,1,0.722929,2.088253,0.508402,0.698863,10,0.008398,0.008137,0.016919,0.118788,0.125270,0.006199,0.004558,0.003504,0.190461,0.005017,0.508402,0.004347
devinedevinbr,7,0.722633,2.076871,0.544316,0.760851,4,0.026170,0.007782,0.015864,0.007649,0.544316,0.026490,0.004283,0.028499,0.216536,0.003311,0.102660,0.016441
sergbriantsev,6,0.722411,2.122615,0.419020,0.724687,4,0.006831,0.006619,0.069450,0.009433,0.419020,0.023347,0.003708,0.002850,0.305667,0.004081,0.145458,0.003536
karenparker93,12,0.722328,2.079257,0.476990,0.776082,4,0.011806,0.019763,0.020034,0.010810,0.476990,0.023158,0.006522,0.020725,0.299093,0.002327,0.105665,0.003107
pigeontoday,18,0.721894,2.037822,0.387280,0.719555,4,0.007750,0.007509,0.015640,0.017142,0.387280,0.013356,0.004207,0.003234,0.332275,0.004630,0.202963,0.004012
mmmdarya,2,0.721814,2.103888,0.426843,0.755294,8,0.008179,0.007924,0.016500,0.011286,0.328451,0.006037,0.004439,0.003413,0.426843,0.102516,0.080179,0.004234
valeyina_dm,12,0.721777,2.106935,0.463829,0.764063,4,0.011507,0.023491,0.032380,0.010102,0.463829,0.005401,0.024298,0.003053,0.300234,0.008942,0.112974,0.003788
joseph_jenks,1,0.721691,2.048507,0.447319,0.695984,8,0.010221,0.009903,0.020593,0.014186,0.248665,0.007545,0.005548,0.004265,0.447319,0.006107,0.220357,0.005291
siccerthanyou,31,0.721611,2.035323,0.424077,0.733122,4,0.008999,0.008161,0.015055,0.010481,0.424077,0.004611,0.006126,0.006094,0.309045,0.011656,0.187730,0.007966
ogdeandre,52,0.721545,2.081374,0.402318,0.735671,4,0.008391,0.014526,0.027327,0.019501,0.402318,0.009706,0.004417,0.004077,0.333353,0.003355,0.168926,0.004104
zzzacharyzzz,31,0.721502,2.111698,0.427356,0.746298,4,0.007044,0.014498,0.044251,0.017627,0.427356,0.011701,0.009496,0.002939,0.318942,0.004209,0.138290,0.003647
richmondvoice,56,0.721058,2.116749,0.462762,0.740775,4,0.010939,0.010660,0.095832,0.016284,0.462762,0.006240,0.006262,0.002913,0.278013,0.005255,0.099643,0.005198
banttanantta,1,0.720636,2.067595,0.421308,0.754172,8,0.011483,0.011125,0.023133,0.015873,0.151911,0.008475,0.006232,0.004791,0.421308,0.006860,0.332865,0.005944
krustyps,1,0.720605,2.067653,0.421115,0.754177,8,0.011483,0.011125,0.023133,0.015873,0.151907,0.008475,0.006232,0.004791,0.421115,0.006860,0.333063,0.005944
cassieweltch,162,0.720509,2.080884,0.534283,0.763314,10,0.017552,0.009674,0.015617,0.038492,0.105253,0.014553,0.008122,0.009276,0.229032,0.004300,0.534283,0.013846
crystal1johnson,123,0.720402,2.077550,0.536106,0.713911,8,0.013984,0.011640,0.028141,0.031898,0.163533,0.006365,0.006368,0.007707,0.536106,0.009366,0.177805,0.007089
neworleanson,69,0.720375,2.142111,0.484821,0.719072,4,0.009079,0.013479,0.123012,0.020027,0.484821,0.006740,0.013534,0.003315,0.234251,0.002872,0.085537,0.003332
puredavie,121,0.720207,2.077637,0.529949,0.749503,10,0.022495,0.010896,0.015439,0.021948,0.130137,0.013496,0.009086,0.004880,0.219554,0.004701,0.529949,0.017419
policestateme,2,0.719543,2.113385,0.407353,0.732245,8,0.008807,0.048041,0.017754,0.012160,0.324893,0.006501,0.004780,0.003675,0.407353,0.005262,0.156216,0.004559
traceyhappymom,87,0.719268,2.044116,0.564733,0.760758,10,0.015857,0.011930,0.017314,0.024348,0.113486,0.016026,0.009837,0.006478,0.196025,0.007375,0.564733,0.016591
finnaglo,11,0.719214,2.101003,0.403594,0.746927,4,0.022447,0.006205,0.013029,0.023956,0.403594,0.004727,0.003476,0.002672,0.343333,0.025824,0.146338,0.004401
phoenixdailynew,95,0.718775,2.102921,0.426569,0.660732,4,0.006242,0.007271,0.214484,0.010485,0.426570,0.004837,0.003552,0.002885,0.234162,0.004114,0.082284,0.003115
hollandpatrickk,123,0.718420,2.095723,0.502686,0.715452,8,0.017380,0.008740,0.024203,0.013834,0.172533,0.022775,0.005912,0.006741,0.502686,0.006408,0.212766,0.006023
jani_s_jac,58,0.718368,2.102400,0.419489,0.736572,4,0.008394,0.012843,0.030216,0.013802,0.419489,0.015297,0.003290,0.004926,0.317083,0.005116,0.161967,0.007578
glebnikon,11,0.718248,2.100621,0.504732,0.773232,4,0.016284,0.007987,0.033717,0.020931,0.504732,0.017868,0.014278,0.011508,0.268500,0.004925,0.095003,0.004268
oaklandonline,73,0.718140,2.123580,0.436841,0.681021,4,0.005514,0.006711,0.244180,0.012894,0.436841,0.006530,0.006555,0.002301,0.189103,0.006008,0.079718,0.003645
maksblaginin,5,0.718031,2.105113,0.397742,0.714236,4,0.005745,0.005566,0.011813,0.022523,0.397742,0.004241,0.003118,0.002397,0.316494,0.027340,0.187746,0.015274
philadelphiaon,64,0.717981,2.139382,0.466370,0.735774,4,0.015931,0.013433,0.059031,0.015079,0.466370,0.006529,0.006323,0.007494,0.269404,0.005285,0.130542,0.004579
lysikvinkova,3,0.717727,2.050309,0.406979,0.689347,8,0.009462,0.009168,0.019261,0.013070,0.282367,0.006984,0.005136,0.003948,0.406979,0.005653,0.233074,0.004898
romangorolov,7,0.717444,2.073575,0.374206,0.742080,8,0.007116,0.006895,0.014493,0.009831,0.367874,0.005253,0.016567,0.002969,0.374206,0.025767,0.165344,0.003684
robbydelaware,23,0.717103,2.120037,0.414023,0.743995,8,0.019668,0.011743,0.040035,0.011419,0.329973,0.006103,0.004488,0.009900,0.414023,0.004940,0.143429,0.004280
blacktivists,11,0.717003,2.079326,0.481164,0.692884,8,0.020519,0.015323,0.016666,0.011372,0.208332,0.006077,0.004468,0.009593,0.481164,0.010505,0.211721,0.004262
pamblmdaniels,53,0.716962,2.123066,0.427047,0.736949,4,0.018844,0.007824,0.031645,0.020380,0.427047,0.010248,0.004505,0.004700,0.309902,0.005169,0.153262,0.006473
ostrovofficer,1,0.716524,2.148520,0.490518,0.702002,11,0.009212,0.008925,0.018736,0.012713,0.211484,0.006800,0.005000,0.003844,0.144894,0.005504,0.082371,0.490518
lila_gorila,1,0.716524,2.148524,0.490518,0.702001,11,0.009212,0.008925,0.018737,0.012713,0.211484,0.006800,0.005000,0.003844,0.144894,0.005504,0.082371,0.490518
oooonlyone,1,0.716524,2.148525,0.490518,0.702001,11,0.009212,0.008925,0.018737,0.012713,0.211483,0.006800,0.005000,0.003844,0.144894,0.005504,0.082371,0.490518
horrorki,1,0.716523,2.148527,0.490518,0.702000,11,0.009212,0.008925,0.018738,0.012713,0.211482,0.006800,0.005000,0.003844,0.144894,0.005504,0.082371,0.490518
zistti,1,0.716523,2.148528,0.490518,0.702000,11,0.009212,0.008925,0.018738,0.012713,0.211482,0.006800,0.005000,0.003844,0.144894,0.005504,0.082371,0.490518
sovetnikstatski,15,0.716450,2.127382,0.460875,0.769927,4,0.011728,0.018290,0.025653,0.020293,0.460875,0.010310,0.004148,0.003189,0.309052,0.036865,0.095641,0.003957
inst_vets,4,0.716413,2.080428,0.405188,0.782997,4,0.011128,0.010782,0.022472,0.015355,0.405188,0.030226,0.006040,0.004643,0.377809,0.006648,0.103947,0.005761
tebepizdec,1,0.715430,2.110814,0.446302,0.745141,8,0.013024,0.012619,0.026240,0.017993,0.298838,0.009614,0.007069,0.005435,0.446302,0.007781,0.148343,0.006742
bricegeller,7,0.715250,2.164811,0.441828,0.737873,4,0.051442,0.006100,0.072918,0.017182,0.441828,0.004648,0.003418,0.002627,0.296045,0.003762,0.093742,0.006289
todaybostonma,81,0.715203,2.137929,0.424559,0.669666,4,0.007810,0.005769,0.245107,0.013887,0.424559,0.005968,0.005571,0.002372,0.196713,0.004870,0.084111,0.003264
